所属板块,板块涨跌幅,主力净流入,主力净流入占比,资金排名,板块资金标签,隔夜建议,板块股票数,板块上涨数,板块平均涨跌幅,龙头涨幅,板块广度,板块近5日平均涨幅,板块近5日样本数,板块近5日排名,板块当日资金排名,板块数据状态,生成时间,板块轮动状态,板块操作建议,DS盘面判断,DS操作指引,DS风险提示,DS固定持仓提示,DS状态
房地产服务,0.46,-8933220.0,-4.96,244,资金流出,涨但资金未跟，谨慎,8,1,-1.59,6.23,12.5,-2.28,8,112,244,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
煤炭开采,0.53,-9176537.0,-0.43,246,资金流出,涨但资金未跟，谨慎,25,19,1.38,9.95,76.0,2.03,25,27,246,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
文娱用品,0.84,-10691111.0,-2.17,256,资金流出,涨但资金未跟，谨慎,23,7,-1.17,4.16,30.43,-2.77,23,131,256,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
租赁,0.38,-10985940.0,-6.66,259,资金流出,涨但资金未跟，谨慎,3,1,-2.92,0.16,33.33,-1.58,3,88,259,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
油气开采Ⅱ,-0.1,-11624071.0,-1.72,262,资金流出,资金未去，避免隔夜,3,0,-2.01,-0.58,0.0,-2.13,3,104,262,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
专业工程,1.17,-12305183.0,-0.44,266,资金流出,涨但资金未跟，谨慎,34,9,-0.72,10.01,26.47,-0.85,34,62,266,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
楼宇设备,0.65,-12431975.0,-4.49,269,资金流出,涨但资金未跟，谨慎,13,2,-1.42,10.0,15.38,2.17,13,24,269,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
金融信息服务,-0.56,-12862329.0,-4.01,272,资金流出,资金未去，避免隔夜,3,1,-1.96,1.86,33.33,-2.26,3,110,272,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
饲料,0.22,-13418387.0,-2.32,273,资金流出,涨但资金未跟，谨慎,7,3,-0.76,2.17,42.86,-1.17,7,72,273,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
造纸,0.74,-13905586.0,-1.84,275,资金流出,涨但资金未跟，谨慎,12,5,-0.2,10.03,41.67,2.96,12,20,275,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
仪器仪表,0.41,-14547856.0,-0.39,277,资金流出,涨但资金未跟，谨慎,1,1,3.84,3.84,100.0,10.01,1,2,277,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
专业连锁Ⅱ,0.09,-15355354.0,-6.85,281,资金流出,涨但资金未跟，谨慎,7,0,-2.41,-1.12,0.0,-2.56,7,120,281,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
物流,0.59,-15434449.0,-1.28,282,资金流出,涨但资金未跟，谨慎,32,4,-2.01,1.74,12.5,-2.75,32,129,282,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
分立器件,-1.25,-15790416.0,-0.3,286,资金流出,资金未去，避免隔夜,1,0,-5.3,-5.3,0.0,-2.18,1,107,286,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
汽车综合服务,-0.58,-15853134.0,-12.64,288,资金流出,资金未去，避免隔夜,4,1,-1.43,0.31,25.0,-3.59,4,152,288,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
养殖业,0.56,-16413725.0,-1.39,291,资金流出,涨但资金未跟，谨慎,20,2,-1.51,5.74,10.0,-2.09,20,102,291,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
彩电,0.62,-17493849.0,-5.73,294,资金流出,涨但资金未跟，谨慎,3,0,-2.86,-1.38,0.0,-0.61,3,57,294,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
纺织制造,0.56,-18763603.0,-1.74,296,资金流出,涨但资金未跟，谨慎,15,2,-1.56,10.02,13.33,-3.75,15,159,296,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
清洁小家电,0.71,-19769729.0,-5.01,297,资金流出,涨但资金未跟，谨慎,8,1,-2.03,3.22,12.5,-4.13,8,170,297,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
汽车服务,0.1,-19857681.0,-12.16,298,资金流出,涨但资金未跟，谨慎,4,0,-2.17,-1.74,0.0,-3.29,4,146,298,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
小家电,0.79,-20458322.0,-3.33,299,资金流出,涨但资金未跟，谨慎,8,1,-1.7,0.76,12.5,-4.12,8,169,299,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
钟表珠宝,-0.59,-20872088.0,-4.66,301,资金流出,资金未去，避免隔夜,12,1,-3.12,0.82,8.33,-3.18,12,143,301,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
预加工食品,-0.3,-22509742.0,-5.59,306,资金流出,资金未去，避免隔夜,10,3,-0.34,2.11,30.0,-2.29,10,113,306,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
非金属材料Ⅱ,-0.43,-23044900.0,-3.11,308,资金流出,资金未去，避免隔夜,7,1,-2.23,2.21,14.29,-1.06,7,67,308,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
无机盐,-0.06,-23772107.0,-2.93,311,资金流出,资金未去，避免隔夜,11,0,-3.79,-0.44,0.0,-3.6,11,153,311,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
汽车电子电气系统,0.84,-25470489.0,-1.31,314,资金流出,涨但资金未跟，谨慎,39,9,-1.34,10.01,23.08,-2.63,39,126,314,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
纸包装,0.01,-26723129.0,-5.15,317,资金流出,涨但资金未跟，谨慎,18,4,-1.2,4.63,22.22,-2.91,18,136,317,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
乳品,-0.25,-27692295.0,-1.71,322,资金流出,资金未去，避免隔夜,18,8,0.99,9.99,44.44,-0.49,18,55,322,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
机床工具,0.68,-27897911.0,-4.04,323,资金流出,涨但资金未跟，谨慎,17,4,-2.13,10.32,23.53,-1.79,17,92,323,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
金融控股,0.33,-28579553.0,-7.77,325,资金流出,涨但资金未跟，谨慎,9,0,-2.36,-0.92,0.0,-3.72,9,157,325,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
橡胶助剂,-2.15,-28614239.0,-8.76,326,资金流出,资金未去，避免隔夜,2,0,-5.11,-3.97,0.0,-3.76,2,161,326,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
疫苗,1.11,-29183072.0,-5.96,328,资金流出,涨但资金未跟，谨慎,13,4,-1.71,2.99,30.77,-4.34,13,176,328,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
电视广播Ⅲ,0.91,-30935165.0,-6.59,331,资金流出,涨但资金未跟，谨慎,12,5,-0.5,3.7,41.67,-1.08,12,68,331,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
磨具磨料,0.17,-31076646.0,-2.76,333,资金流出,涨但资金未跟，谨慎,12,2,-2.07,6.89,16.67,3.65,12,17,333,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
商用车,-0.38,-31643488.0,-1.74,334,资金流出,资金未去，避免隔夜,13,1,-2.34,2.52,7.69,-2.79,13,132,334,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
橡胶,0.43,-33543551.0,-5.24,338,资金流出,涨但资金未跟，谨慎,15,3,-1.39,4.04,20.0,-0.21,15,51,338,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
蓄电池及其他电池,-0.16,-35927012.0,-4.36,342,资金流出,资金未去，避免隔夜,8,1,-1.82,3.35,12.5,-3.47,8,151,342,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
航空机场,0.43,-38306234.0,-4.77,345,资金流出,涨但资金未跟，谨慎,13,1,-1.46,0.37,7.69,0.11,13,48,345,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他化学原料,0.26,-41087110.0,-6.6,349,资金流出,涨但资金未跟，谨慎,12,2,-0.96,20.0,16.67,-1.62,12,90,349,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
诊断服务,-0.93,-43686376.0,-12.37,352,资金流出,资金未去，避免隔夜,5,1,-2.03,0.89,20.0,-2.96,5,137,352,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
煤化工,-0.18,-43973711.0,-4.19,353,资金流出,资金未去，避免隔夜,8,0,-2.15,-0.72,0.0,-4.86,8,186,353,回避,2026-09-07 09:26:20,资金流出,降权回避,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他汽车零部件,0.84,-44456204.0,-2.06,357,资金流出,涨但资金未跟，谨慎,49,8,-1.78,8.11,16.33,-2.54,49,119,357,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
工程机械,0.58,-44792873.0,-2.55,358,资金流出,涨但资金未跟，谨慎,9,2,-4.35,2.23,22.22,-2.65,9,127,358,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
钢铁,0.88,-44868213.0,-2.1,359,资金流出,涨但资金未跟，谨慎,30,2,-2.84,1.56,6.67,-2.02,30,97,359,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
纺织化学制品,0.11,-47273131.0,-3.64,363,资金流出,涨但资金未跟，谨慎,13,1,-2.98,0.18,7.69,-3.14,13,140,363,谨慎,2026-09-07 09:26:20,冲高分歧,追高谨慎,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
